user_id;country;city;school
8223;Россия;Калининград;МАОУ гимназия № 32
8224;Россия;Астрахань;МБОУ г.Астрахань «Начальная общеобразовательная школа №19»
8225;Россия;Омск;Инженерный лицей БПОУ «Омавиат»
8226;Россия;Люберцы;МОУ «Инженерно-технологический лицей»
8227;Россия;Череповец;"МАОУ ""Школа русской культуры"" (НОШ №41)"
8228;Россия;Иркутск;РЖД лицей № 14
8229;Россия;Санкт-Петербург;Инженерно-технологическая школа
8230;Россия;Салехард;"МАОУ ""СОШ № 1"""
8231;Россия;Ленинградская область;МОУ «Инженерно-технологическая школа»
8232;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8233;Россия;Казань;"МБОУ ""Гимназия № 102"""
8234;Россия;Чайковский;МАОУ СОШ № 10
8235;Россия;Новогорелово;МОУ «Инженерно-технологическая школа»
8236;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8237;Россия;Новогорелово;МОУ «Инженерно-технологическая школа»
8238;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8239;Россия;Санкт-Петербург;ГБОУ школа № 690 Невского района Санкт-Петербурга
8240;Россия;Краснообск;МАОУ «Гимназия «Краснообская»
8241;Россия;Люберцы;МОУ «Инженерно-технологический лицей»
8242;Россия;Люберцы;МОУ «Инженерно-технологический лицей»
8243;Россия;Уфа;МОБУ Школа «Взлетай» с. Булгаково
8244;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8245;Россия;Новогорелово;МОУ «Инженерно-технологическая школа»
8246;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8247;Россия;Удачный;"МАОУ ""СОШ № 24"""
8248;Россия;Иркутск;РЖД лицей № 14
8249;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8250;Кыргызстан;Бишкек;НО ОФ «Школа Газпром Кыргызстан»
8251;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8252;Россия;Санкт-Петербург;ГБОУ лицей №533 «Образовательный комплекс „Малая Охта“» Красногвардейского района Санкт-Петербурга
8253;Кыргызстан;Бишкек;НО ОФ «Школа Газпром Кыргызстан»
8254;Россия;Иркутск;РЖД лицей № 14
8255;Кыргызстан;Бишкек;НО ОФ «Школа Газпром Кыргызстан»
8256;Россия;Красноярск;МАОУ СШ № 144
8257;Россия;Астрахань;МБОУ г.Астрахань «Начальная общеобразовательная школа №19»
8258;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8259;Россия;Санкт-Петербург;"МОУ ""Ропшинская школа"""
8260;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8261;Россия;Удачный;"МАОУ ""СОШ № 24"""
8262;Россия;Ленинградская область;МОУ «Инженерно-технологическая школа»
8263;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8264;Россия;Иваново;"МБОУ ""Лицей №33"""
8265;Россия;Красноярск;МАОУ СШ № 144
8266;Россия;Красноярск;МАОУ СШ № 144
8267;Россия;Санкт-Петербург;ГБОУ СОШ №252 Красносельского района Санкт-Петербурга
8268;Россия;Астрахань;МБОУ г.Астрахань «Начальная общеобразовательная школа №19»
8269;Россия;Санкт-Петербург;МОУ Инженерно-технологическая школа
8270;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8271;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8272;Россия;Санкт-Петербург;ГБОУ ФМЛ №366 Московского района Санкт-Петербурга
8273;Россия;Санкт-Петербург;ГБОУ лицей №384 Кировского района Санкт-Петербурга
8274;Россия;Пермь;"МАОУ ""Инженерная школа им. М.Ю. Цирульникова"" Перми"
8275;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8276;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8277;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8278;Россия;Пермь;"МАОУ ""Инженерная школа им. М.Ю. Цирульникова"" Перми"
8279;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8280;Россия;Ленинградская область;МОУ «Инженерно-технологическая школа»
8281;Россия;Омск;Гимназия № 123 им. О.И.Охрименко
8282;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8283;Россия;Санкт-Петербург;ГБОУ школа № 350 Невского района Санкт-Петербурга
8284;Россия;Санкт-Петербург;ГБОУ лицей № 226 Фрунзенского района Санкт-Петербурга
8285;Россия;Астрахань;МБОУ г.Астрахань «Начальная общеобразовательная школа №19»
8286;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8287;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8288;Россия;Астрахань;МБОУ г. Астрахани СОШ № 27
8289;Россия;Казань;"МБОУ ""Гимназия № 102"""
8290;Россия;Красноярск;МАОУ СШ № 144
8291;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8292;Россия;Красноярск;МАОУ СШ № 144
8293;Россия;Санкт-Петербург;ГБОУ лицей №384 Кировского района Санкт-Петербурга
8294;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8295;Россия;Санкт-Петербург;ГБОУ школа № 334 Невского района Санкт-Петербурга
8296;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8297;Россия;Якутск;МАОУ СПЛ
8298;Россия;Люберцы;МОУ «Инженерно-технологический лицей»
8299;Россия;Санкт-Петербург;ГБОУ СОШ № 385 Красносельского района Санкт-Петербурга
8300;Россия;Санкт-Петербург;ГБОУ лицей № 226 Фрунзенского района Санкт-Петербурга
8301;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8302;Россия;Санкт-Петербург;ГБОУ лицей №384 Кировского района Санкт-Петербурга
8303;Россия;Булгаково;"МОБУ Школа ""Взлетай"" с. Булгаково"
8304;Россия;Санкт-Петербург;ГБОУ лицей № 226 Фрунзенского района Санкт-Петербурга
8305;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8306;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8307;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8308;Россия;Москва;ГБОУ Школа №2048
8309;Россия;Казань;МБОУ «Школа №62»
8310;Россия;Санкт-Петербург;ГБОУ СОШ №252 Красносельского района Санкт-Петербурга
8311;Россия;Омск;Инженерный лицей БПОУ «Омавиат»
8312;Россия;Краснообск;МБОУ СОШ № 144
8313;Россия;Булгаково;"МОБУ Школа ""Взлетай"" с. Булгаково"
8314;Россия;Санкт-Петербург;ГБОУ лицей № 344 Невского района Санкт-Петербурга
8315;Россия;Санкт-Петербург;ГБОУ СОШ №625 Невского района Санкт-Петербурга
8316;Россия;Новосибирск;МАОУ СОШ № 217
8317;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8318;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8319;Россия;Томск;МАОУ гимназия № 26 г. Томска
8320;Россия;Череповец;МОУ Ирдоматский ЦО
8321;Россия;Красноярск;МАОУ СШ № 144
8322;Россия;Санкт-Петербург;ГБОУ школа № 518 Выборгского района Санкт-Петербурга
8323;Россия;Якутск;МОБУ СОШ № 21 г. Якутска
8324;Россия;Санкт-Петербург;ГБОУ СОШ №458 Невского района Санкт-Петербурга
8325;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8326;Россия;Санкт-Петербург;ГБОУ школа №691 с углублённым изучением иностранных языков Невского района Санкт-Петербурга «Невская школа»
8327;Россия;Череповец;"МАОУ ""Школа русской культуры"" (НОШ №41)"
8328;Россия;Санкт-Петербург;ГБОУ гимназия №505 Красносельского района Санкт-Петербурга
8329;Россия;Томск;МАОУ гимназия № 26 г. Томска
8330;Россия;Красноярск;МАОУ СШ № 144
8331;Россия;Санкт-Петербург;ГБОУ №342 средняя школа Невского района Санкт-Петербурга
8332;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8333;Россия;Санкт-Петербург;ГБОУ НОШ №437 Курортного района Санкт-Петербурга
8334;Россия;Пермь;"МАОУ ""Лицей № 4"" г. Перми"
8335;Россия;Новогорелово;МОУ «Инженерно-технологическая школа»
8336;Россия;Красноярск;МАОУ СШ № 144
8337;Россия;Удачный;"МАОУ ""СОШ № 24"""
8338;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8339;Россия;Красноярск;МАОУ СШ № 144
8340;Россия;Воронеж;"МБОУ Образовательный центр ""Содружество"""
8341;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8342;Россия;Иркутск;РЖД лицей № 14
8343;Россия;Санкт-Петербург;ГБОУ  СОШ № 717 Невского района Санкт-Петербурга
8344;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8345;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8346;Россия;Мурино;МОБУ «Муринская СОШ № 6»
8347;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8348;Россия;Красноярск;МАОУ СШ № 144
8349;Россия;Санкт-Петербург;МОУ «Инженерно-технологическая школа»
8350;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8351;Россия;Красноярск;МАОУ СШ № 144
8352;Россия;Санкт-Петербург;ГБОУ СОШ № 549 Красносельского района Санкт-Петербурга
8353;Россия;Пермь;"МАОУ ""Лицей № 4"" г. Перми"
8354;Россия;Красноярск;МАОУ СШ № 144
8355;Россия;Мурино;"МОБУ ""СОШ ""Муринский ЦО № 2"""
8356;Россия;Советск;МАОУ «Лицей № 10» г.Советска
8357;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8358;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8359;Россия;Пермь;"МАОУ ""Лицей № 4"" г. Перми"
8360;Россия;Салехард;"МАОУ ""СОШ № 1"""
8361;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8362;Россия;Иркутск;РЖД лицей № 14
8363;Россия;Санкт-Петербург;ГБОУ СОШ № 385 Красносельского района Санкт-Петербурга
8364;Россия;Санкт-Петербург;ГБОУ Школа №100 Калининского района Санкт-Петербурга
8365;Россия;Чайковский;МАОУ СОШ № 10
8366;Россия;Чайковский;МАОУ СОШ № 10
8367;Россия;Астрахань;"МБОУ г. Астрахани ""СОШ №45"""
8368;Россия;Красноярск;МАОУ СШ № 144
8369;Россия;Санкт-Петербург;ГБОУ лицей № 226 Фрунзенского района Санкт-Петербурга
8370;Россия;Санкт-Петербург;ГБОУ лицей № 344 Невского района Санкт-Петербурга
8371;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8372;Россия;Санкт-Петербург;ГБОУ школа №639 с углублённым изучением иностранных языков Невского района Санкт-Петербурга
8373;Россия;Санкт-Петербург;ГБОУ СОШ № 385 Красносельского района Санкт-Петербурга
8374;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8375;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8376;Россия;Санкт-Петербург;ГБОУ школа №707 Невского района Санкт-Петербурга
8377;Россия;Новогорелово;МОУ «Инженерно-технологическая школа»
8378;Россия;Санкт-Петербург;ГБОУ школа №203 Красносельского района Санкт-Петербурга
8379;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8380;Россия;Санкт-Петербург;ГБОУ СОШ №80 с углубленным изучением английского языка Петроградского района Санкт-Петербурга
8381;Россия;Санкт-Петербург;ГБОУ школа №26 с углубленным изучением  французского языка  Невского района Санкт-Петербурга
8382;Россия;Пермь;"МАОУ ""Лицей № 4"" г. Перми"
8383;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8384;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8385;Россия;Красноярск;МАОУ СШ № 144
8386;Россия;Санкт-Петербург;ГБОУ школа №203 Красносельского района Санкт-Петербурга
8387;Россия;Удачный;"МАОУ ""СОШ № 24"""
8388;Россия;Санкт-Петербург;ГБОУ СОШ № 391 Красносельского района Санкт-Петербурга
8389;Россия;Санкт-Петербург;ГБОУ школа №340 Невского района Санкт-Петербурга имени О.Ф. Берггольц
8390;Россия;Санкт-Петербург;ГБОУ СОШ №625 Невского района Санкт-Петербурга
8391;Россия;Санкт-Петербург;ГБОУ школа №203 Красносельского района Санкт-Петербурга
8392;Россия;Красноярск;МАОУ СШ № 144
8393;Россия;Пермь;"МАОУ ""СОШ № 81"""
8394;Россия;Красноярск;МАОУ СШ № 144
8395;Россия;Красноярск;МАОУ СШ № 144
8396;Россия;Санкт-Петербург;ГБОУ СОШ № 574 Невского района  Санкт-Петербурга
8397;Россия;Балаково;МАОУ СОШ №27
8398;Россия;Санкт-Петербург;ГБОУ СОШ № 15 Василеостровского района Санкт-Петербурга
8399;Россия;Красноярск;МАОУ СШ № 144
8400;Россия;Салехард;"МАОУ ""СОШ № 1"""
8401;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8402;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8403;Россия;Удачный;"МАОУ ""СОШ № 24"""
